,url,chapter,domain,sub-code,definition
1,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A00,Cholera
2,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae"
3,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor"
4,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A00.9,"Cholera, unspecified"
5,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A01,Typhoid and paratyphoid fevers
6,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A01.0,Typhoid fever
7,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A01.1,Paratyphoid fever A
8,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A01.2,Paratyphoid fever B
9,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A01.3,Paratyphoid fever C
10,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A01.4,"Paratyphoid fever, unspecified"
11,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A02,Other salmonella infections
12,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A02.0,Salmonella enteritis
13,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A02.1,Salmonella sepsis
14,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A02.2,Localized salmonella infections
15,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A02.8,Other specified salmonella infections
16,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A02.9,"Salmonella infection, unspecified"
17,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A03,Shigellosis
18,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A03.0,Shigellosis due to Shigella dysenteriae
19,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A03.1,Shigellosis due to Shigella flexneri
20,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A03.2,Shigellosis due to Shigella boydii
21,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A03.3,Shigellosis due to Shigella sonnei
22,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A03.8,Other shigellosis
23,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A03.9,"Shigellosis, unspecified"
24,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A04,Other bacterial intestinal infections
25,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A04.0,Enteropathogenic Escherichia coli infection
26,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A04.1,Enterotoxigenic Escherichia coli infection
27,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A04.2,Enteroinvasive Escherichia coli infection
28,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A04.3,Enterohaemorrhagic Escherichia coli infection
29,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A04.4,Other intestinal Escherichia coli infections
30,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A04.5,Campylobacter enteritis
31,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A04.6,Enteritis due to Yersinia enterocolitica
32,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A04.7,Enterocolitis due to Clostridium difficile
33,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A04.8,Other specified bacterial intestinal infections
34,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A04.9,"Bacterial intestinal infection, unspecified"
35,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A05,"Other bacterial foodborne intoxications, not elsewhere classified"
36,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A05.0,Foodborne staphylococcal intoxication
37,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A05.1,Botulism
38,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
